,experiment,d,repetitions,m,n,approx_type,kernel_type,l_minus_l_plus,function_type,perturbation_or_Qi,power
108,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",uniform,4,0.02
109,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",increasing,1,1.0
110,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",increasing,2,0.998
111,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",increasing,3,0.358
112,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",increasing,4,0.03
113,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",decreasing,1,1.0
114,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",decreasing,2,0.94
115,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",decreasing,3,0.14
116,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",decreasing,4,0.002
117,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",centred,1,1.0
118,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",centred,2,0.974
119,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",centred,3,0.23
120,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",centred,4,0.01
121,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",ost,1,0.56
122,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",ost,2,0.052
123,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",ost,3,0.07
124,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",ost,4,0.03
125,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",uniform,1,1.0
126,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",uniform,2,0.986
127,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",uniform,3,0.256
128,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",uniform,4,0.018
129,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",increasing,1,1.0
130,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",increasing,2,0.978
131,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",increasing,3,0.244
132,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",increasing,4,0.016
133,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",decreasing,1,1.0
134,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",decreasing,2,0.966
135,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",decreasing,3,0.206
136,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",decreasing,4,0.02
137,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",centred,1,1.0
138,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",centred,2,0.992
139,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",centred,3,0.336
140,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",centred,4,0.026
141,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",ost,1,0.618
142,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",ost,2,0.08
143,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",ost,3,0.042
144,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-4, 0)",ost,4,0.064
145,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",uniform,1,1.0
146,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-2, 2)",uniform,2,0.992
